2025-04-11 13:53:34, Prediction: 0.09, Motion: 2.86, Detected: False
2025-04-11 13:53:35, Prediction: 0.16, Motion: 2.98, Detected: False
2025-04-11 13:53:35, Prediction: 0.24, Motion: 2.78, Detected: False
2025-04-11 13:53:35, Prediction: 0.32, Motion: 2.76, Detected: False
2025-04-11 13:53:36, Prediction: 0.41, Motion: 2.76, Detected: True
2025-04-11 13:53:36, Prediction: 0.42, Motion: 2.54, Detected: True
2025-04-11 13:53:37, Prediction: 0.44, Motion: 2.44, Detected: True
2025-04-11 13:53:37, Prediction: 0.44, Motion: 2.48, Detected: True
2025-04-11 13:53:37, Prediction: 0.44, Motion: 2.78, Detected: True
2025-04-11 13:53:38, Prediction: 0.44, Motion: 2.89, Detected: True
2025-04-11 13:53:38, Prediction: 0.43, Motion: 2.78, Detected: True
2025-04-11 13:53:38, Prediction: 0.34, Motion: 2.64, Detected: False
2025-04-11 13:53:38, Prediction: 0.26, Motion: 2.57, Detected: False
2025-04-11 13:53:39, Prediction: 0.17, Motion: 2.41, Detected: False
2025-04-11 13:53:39, Prediction: 0.07, Motion: 2.10, Detected: False
2025-04-11 13:53:39, Prediction: 0.05, Motion: 1.92, Detected: False
2025-04-11 13:53:39, Prediction: 0.02, Motion: 1.69, Detected: False
2025-04-11 13:53:39, Prediction: 0.01, Motion: 1.45, Detected: False
2025-04-11 13:53:40, Prediction: 0.00, Motion: 0.96, Detected: False
2025-04-11 13:53:40, Prediction: 0.00, Motion: 0.69, Detected: False
2025-04-11 13:53:40, Prediction: 0.00, Motion: 0.56, Detected: False
2025-04-11 13:53:40, Prediction: 0.00, Motion: 0.47, Detected: False
2025-04-11 13:53:40, Prediction: 0.00, Motion: 0.41, Detected: False
2025-04-11 13:53:40, Prediction: 0.01, Motion: 0.43, Detected: False
2025-04-11 13:53:41, Prediction: 0.01, Motion: 0.60, Detected: False
2025-04-11 13:53:41, Prediction: 0.01, Motion: 0.81, Detected: False
2025-04-11 13:53:41, Prediction: 0.02, Motion: 1.25, Detected: False
2025-04-11 13:53:41, Prediction: 0.03, Motion: 1.67, Detected: False
2025-04-11 13:53:41, Prediction: 0.04, Motion: 2.05, Detected: False
2025-04-11 13:53:42, Prediction: 0.04, Motion: 2.24, Detected: False
2025-04-11 13:53:42, Prediction: 0.10, Motion: 2.58, Detected: False
2025-04-11 13:53:42, Prediction: 0.19, Motion: 2.93, Detected: False
2025-04-11 13:53:42, Prediction: 0.25, Motion: 3.40, Detected: False
2025-04-11 13:53:42, Prediction: 0.28, Motion: 3.98, Detected: False
2025-04-11 13:53:43, Prediction: 0.30, Motion: 4.71, Detected: False
2025-04-11 13:53:43, Prediction: 0.31, Motion: 5.90, Detected: False
2025-04-11 13:53:43, Prediction: 0.31, Motion: 6.46, Detected: False
2025-04-11 13:53:43, Prediction: 0.31, Motion: 6.76, Detected: False
2025-04-11 13:53:43, Prediction: 0.30, Motion: 6.89, Detected: False
2025-04-11 13:53:44, Prediction: 0.30, Motion: 7.18, Detected: False
2025-04-11 13:53:44, Prediction: 0.24, Motion: 7.37, Detected: False
2025-04-11 13:53:44, Prediction: 0.15, Motion: 7.29, Detected: False
2025-04-11 13:53:44, Prediction: 0.09, Motion: 7.11, Detected: False
2025-04-11 13:53:44, Prediction: 0.06, Motion: 6.71, Detected: False
2025-04-11 13:53:44, Prediction: 0.04, Motion: 6.23, Detected: False
2025-04-11 13:53:45, Prediction: 0.03, Motion: 4.97, Detected: False
2025-04-11 13:53:45, Prediction: 0.01, Motion: 4.15, Detected: False
2025-04-11 13:53:45, Prediction: 0.01, Motion: 3.72, Detected: False
2025-04-11 13:53:45, Prediction: 0.01, Motion: 3.50, Detected: False
2025-04-11 13:53:46, Prediction: 0.01, Motion: 3.36, Detected: False
2025-04-11 13:53:46, Prediction: 0.01, Motion: 3.02, Detected: False
2025-04-11 13:53:46, Prediction: 0.01, Motion: 2.76, Detected: False
2025-04-11 13:53:46, Prediction: 0.01, Motion: 2.55, Detected: False
2025-04-11 13:53:46, Prediction: 0.01, Motion: 2.47, Detected: False
2025-04-11 13:53:47, Prediction: 0.01, Motion: 2.22, Detected: False
2025-04-11 13:53:47, Prediction: 0.01, Motion: 2.08, Detected: False
2025-04-11 13:53:47, Prediction: 0.01, Motion: 2.02, Detected: False
2025-04-11 13:53:47, Prediction: 0.01, Motion: 1.82, Detected: False
2025-04-11 13:53:47, Prediction: 0.01, Motion: 1.53, Detected: False
2025-04-11 13:53:48, Prediction: 0.01, Motion: 1.31, Detected: False
2025-04-11 13:53:48, Prediction: 0.01, Motion: 1.43, Detected: False
2025-04-11 13:53:48, Prediction: 0.01, Motion: 1.83, Detected: False
2025-04-11 13:53:48, Prediction: 0.01, Motion: 2.25, Detected: False
2025-04-11 13:53:49, Prediction: 0.01, Motion: 2.72, Detected: False
2025-04-11 13:53:49, Prediction: 0.01, Motion: 2.97, Detected: False
2025-04-11 13:53:49, Prediction: 0.01, Motion: 3.37, Detected: False
2025-04-11 13:53:49, Prediction: 0.03, Motion: 3.49, Detected: False
2025-04-11 13:53:49, Prediction: 0.05, Motion: 3.82, Detected: False
2025-04-11 13:53:50, Prediction: 0.06, Motion: 4.06, Detected: False
2025-04-11 13:53:50, Prediction: 0.07, Motion: 4.19, Detected: False
2025-04-11 13:53:50, Prediction: 0.09, Motion: 4.14, Detected: False
2025-04-11 13:53:50, Prediction: 0.10, Motion: 4.07, Detected: False
2025-04-11 13:53:51, Prediction: 0.13, Motion: 3.97, Detected: False
2025-04-11 13:53:51, Prediction: 0.14, Motion: 3.67, Detected: False
2025-04-11 13:53:51, Prediction: 0.18, Motion: 3.41, Detected: False
2025-04-11 13:53:51, Prediction: 0.20, Motion: 3.20, Detected: False
2025-04-11 13:53:51, Prediction: 0.24, Motion: 3.30, Detected: False
2025-04-11 13:53:52, Prediction: 0.27, Motion: 3.20, Detected: False
2025-04-11 13:53:52, Prediction: 0.28, Motion: 3.49, Detected: False
2025-04-11 13:53:52, Prediction: 0.37, Motion: 3.65, Detected: False
2025-04-11 13:53:52, Prediction: 0.37, Motion: 3.75, Detected: False
2025-04-11 13:53:52, Prediction: 0.36, Motion: 3.72, Detected: False
2025-04-11 13:53:53, Prediction: 0.33, Motion: 3.41, Detected: False
2025-04-11 13:53:53, Prediction: 0.32, Motion: 3.25, Detected: False
2025-04-11 13:53:53, Prediction: 0.29, Motion: 3.16, Detected: False
2025-04-11 13:53:53, Prediction: 0.27, Motion: 3.06, Detected: False
2025-04-11 13:53:54, Prediction: 0.21, Motion: 2.85, Detected: False
2025-04-11 13:53:54, Prediction: 0.17, Motion: 2.59, Detected: False
2025-04-11 13:53:54, Prediction: 0.16, Motion: 2.13, Detected: False
2025-04-11 13:53:54, Prediction: 0.08, Motion: 1.81, Detected: False
2025-04-11 13:53:54, Prediction: 0.06, Motion: 1.52, Detected: False
2025-04-11 13:53:55, Prediction: 0.06, Motion: 1.26, Detected: False
2025-04-11 13:53:55, Prediction: 0.06, Motion: 1.25, Detected: False
2025-04-11 13:53:55, Prediction: 0.07, Motion: 1.17, Detected: False
2025-04-11 13:53:55, Prediction: 0.08, Motion: 1.14, Detected: False
2025-04-11 13:53:56, Prediction: 0.08, Motion: 1.06, Detected: False
2025-04-11 13:53:56, Prediction: 0.08, Motion: 0.96, Detected: False
2025-04-11 13:53:56, Prediction: 0.08, Motion: 0.94, Detected: False
2025-04-11 13:53:56, Prediction: 0.07, Motion: 0.93, Detected: False
2025-04-11 13:53:56, Prediction: 0.07, Motion: 0.86, Detected: False
2025-04-11 13:53:56, Prediction: 0.07, Motion: 0.84, Detected: False
2025-04-11 13:53:57, Prediction: 0.07, Motion: 0.87, Detected: False
2025-04-11 13:53:57, Prediction: 0.08, Motion: 0.83, Detected: False
2025-04-11 13:53:57, Prediction: 0.10, Motion: 0.87, Detected: False
2025-04-11 13:53:57, Prediction: 0.11, Motion: 0.90, Detected: False
2025-04-11 13:53:57, Prediction: 0.10, Motion: 0.97, Detected: False
2025-04-11 13:53:58, Prediction: 0.10, Motion: 1.03, Detected: False
2025-04-11 13:53:58, Prediction: 0.10, Motion: 1.06, Detected: False
2025-04-11 13:53:58, Prediction: 0.10, Motion: 1.05, Detected: False
2025-04-11 13:53:58, Prediction: 0.11, Motion: 1.08, Detected: False
2025-04-11 13:53:58, Prediction: 0.12, Motion: 1.16, Detected: False
